transaction_id,account_id,amount,iso_currency_code,date,transaction_type,confidence_level,pending,category,merchant_name,payment_channel,website
AP5JeKxJayIVZjP3wxNGINeM4JWElBC9vxgpQ,klXvGAxv7zUB1ynQmVNjCylnMxkM8EcJv6wBN,500.0,USD,2025-01-29,Unresolved,LOW,False,Other,Tectra Inc,Other,
bMeZ1y6ZBPIR4D8eodKLtNXEDB5VenCmw6Wk5,klXvGAxv7zUB1ynQmVNjCylnMxkM8EcJv6wBN,2078.5,USD,2025-01-28,Special,LOW,False,Loan_Payments,AUTOMATIC PAYMENT - THANK,Other,
nrmvKAMvZxUoKwJD1LlMuKlVBA6DemiABMz5y,klXvGAxv7zUB1ynQmVNjCylnMxkM8EcJv6wBN,500.0,USD,2025-01-28,Place,LOW,False,Food_And_Drink,KFC,Other,
GMbJpdyJeKIm53WP6nLgt5o9VlAqMgS647bp4,klXvGAxv7zUB1ynQmVNjCylnMxkM8EcJv6wBN,500.0,USD,2025-01-28,Unresolved,LOW,False,Other,Madison Bicycle Shop,Other,
lkg6lA96eBF6lXrAqMPZtEVgrAMpwXtpvmbyX,5lzkr54kvyUzEq9bVBvjuNV3gxrgLGFGmKgPB,25.0,USD,2025-01-19,Special,LOW,False,Loan_Payments,CREDIT CARD 3333 PAYMENT *//,Other,
bMeZ1y6ZBPIR4D8eodKLtNXEDB5VenCmw6WX4,NEVJGP7JoaHQ5qRlB9D7CEqrWxgWKptXw6xDR,5.4,USD,2025-01-19,Unresolved,LOW,False,Other,Uber 063015 SF**POOL**,Other,
KowJEP4J13sX54wQkrD9cMDlPK4M6XsRvDzqo,lkg6lA96eBF6lXrAqMPZtEVQ7pJ7bMtaxoJyl,5850.0,USD,2025-01-18,Special,LOW,False,Other,ACH Electronic CreditGUSTO PAY 123456,Other,
q35vBAbvL4fBn1pabgrlCN1Pqo6yV4CgqywEa,JpdJ8V4JMBIL5Gbe67oauM9vaxRaWpCQP6ZER,1000.0,USD,2025-01-18,Special,LOW,False,Transfer_Out,CD DEPOSIT .INITIAL.,Other,
mKWvqAgvQ3uGqgjML1ReiMkp57oVm9Ig5Q1oE,klXvGAxv7zUB1ynQmVNjCylnMxkM8EcJv6wBN,78.5,USD,2025-01-17,Unresolved,LOW,False,Other,Touchstone Climbing,Other,
mKWvqAgvQ3uGqgjML1ReiMkp57oVm9Ig5Q1Db,NEVJGP7JoaHQ5qRlB9D7CEqrWxgWKptXw6xDR,-500.0,USD,2025-01-17,Special,LOW,False,Travel,United Airlines,Other,
y79wjrMwGJfajory6bNJubGNQR7W3lC4Q8EzG,NEVJGP7JoaHQ5qRlB9D7CEqrWxgWKptXw6xDR,12.0,USD,2025-01-16,Place,LOW,False,Food_And_Drink,McDonald's,Other,
9zWJx6dJqyhvaBZy8xrXu5xJwDndVlS4m9Zpv,NEVJGP7JoaHQ5qRlB9D7CEqrWxgWKptXw6xDR,4.33,USD,2025-01-16,Place,LOW,False,Food_And_Drink,Starbucks,Other,
vNbv4lMvEeI5483plGd6CnERDX7ezaiqDZ8Mz,NEVJGP7JoaHQ5qRlB9D7CEqrWxgWKptXw6xDR,89.4,USD,2025-01-15,Unresolved,LOW,False,Other,SparkFun,Other,
q35vBAbvL4fBn1pabgrlCN1Pqo6yV4Cgqywaa,5lzkr54kvyUzEq9bVBvjuNV3gxrgLGFGmKgPB,-4.22,USD,2025-01-14,Unresolved,LOW,False,Other,INTRST PYMNT,Other,
y79wjrMwGJfajory6bNJubGNQR7W3lC4Q8Eaa,klXvGAxv7zUB1ynQmVNjCylnMxkM8EcJv6wBN,500.0,USD,2025-01-04,Special,LOW,False,Travel,United Airlines,Other,
RKJqrGQqWjuv5MZzVn1yund9WzRgEJiaQongj,NEVJGP7JoaHQ5qRlB9D7CEqrWxgWKptXw6xDR,6.33,USD,2025-01-02,Unresolved,LOW,False,Other,Uber 072515 SF**POOL**,Other,
